Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
boy.jpg	crab.jpg	"(959, 189)"	"(588, 816)"	boy	crab	3	CS_HT	4	21	encuentra_el_drawing_of_a_boy.wav	927	841	1768	1	1	5.858	2.303	964	1076	exp	r	m	NA	0.286763515
radish.jpg	hair.jpg	"(959, 189)"	"(588, 816)"	radish	hair	3	CS_LT	4	32	elige_el_drawing_of_a_radish.wav	897	829	1726	2	1	0.693	5.298317367	1755	1007	exp	r	m	NA	0.179502159
vase.jpg	fire.jpg	"(959, 890)"	"(1331, 263)"	vase	fire	3	CS_LT	3	29	encuentra_el_drawing_of_a_vase.wav	927	841	1768	1	1	2.079	5.094	1168	854	exp	r	m	NA	0.235975655
kite.jpg	man.jpg	"(588, 816)"	"(588, 263)"	kite	man	3	CS_LT	4	30	encuentra_el_drawing_of_a_kite.wav	927	841	1768	1	1	1.792	7.396	796	1018	exp	r	m	NA	0.309582156
present.jpg	tape.jpg	"(1331, 816)"	"(588, 816)"	regalo	cassette	3	S	4	0	elige_el_dibujo_de_un_regalo.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.238240675
bride.jpg	pool.jpg	"(1331, 816)"	"(588, 816)"	novia	alberca	3	S	4	0	encuentra_el_dibujo_de_una_novia.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.281148139
salt.jpg	mirror.jpg	"(959, 189)"	"(1331, 816)"	salero	espejo	3	S	4	0	encuentra_el_dibujo_de_un_salero.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.378113008
moose.jpg	bridge.jpg	"(1331, 263)"	"(588, 816)"	alce	puente	3	S_LT	4	9	elige_el_dibujo_de_un_alce.wav	880	1074	1954	2	2	0.693	4.419	1511	1010	exp	r	m	NA	0.20176229
toilet.jpg	cross.jpg	"(1331, 816)"	"(355, 540)"	toilet	cross	3	CS	5	0	elige_el_drawing_of_a_toilet.wav	897	829	1726	0	0	0	0	0	0	fill	r	m	NA	0.384373046
shell.jpg	gun.jpg	"(588, 816)"	"(959, 189)"	concha	pistola	3	S	5	0	elige_el_dibujo_de_una_concha.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.382933963
