"","Time","X","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","Prop_cs","DELE.MELICET_cs","Bins_cs"
"15",600,743,"p05",0.954545455,"S","HT",30,2,20,160,0.125,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-1.33616670699812,1.43915418687233,-1.65200491438505
"16",600,501,"p04",0.918918919,"CS","HT",30,2,20,160,0.125,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-1.33616670699812,1.22878104695095,-1.65200491438505
"17",600,1474,"p10",0.477272727,"CS","HT",30,1,40,160,0.25,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,-1.37912043820491,-1.65200491438505
"18",600,1475,"p10",0.477272727,"CS","HT",30,2,32,160,0.2,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.902172721454965,-1.37912043820491,-1.65200491438505
"19",600,1840,"p12",0.409090909,"CS","LT",30,2,40,160,0.25,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,-1.7817310972431,-1.65200491438505
"20",600,4027,"p27",1.025,"CS","LT",30,1,67,160,0.41875,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.363643069712574,1.85518519963713,-1.65200491438505
"21",600,4028,"p27",1.025,"CS","LT",30,2,40,160,0.25,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,1.85518519963713,-1.65200491438505
"22",600,1600,"p10",0.477272727,"S","LT",30,1,40,160,0.25,"L","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,-0.612843397759527,-1.37912043820491,-1.65200491438505
"23",600,1601,"p10",0.477272727,"S","LT",30,2,58,160,0.3625,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.0381475805552071,-1.37912043820491,-1.65200491438505
"24",600,994,"p07",0.714285714,"CS","HT",30,1,80,160,0.5,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.83380322071766,0.0204309040118612,-1.65200491438505
"25",600,4153,"p28",0.673913043,"CS","HT",30,1,75,160,0.46875,"H","200_pre_200_post_word",-0.360374985078224,0.422855413286659,-0.433297860106789,0.405147567067943,-0.351367541964403,0.652972393408012,-0.217967955907685,-1.65200491438505
