"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Time","Region"
"99","p01",0.744186047,"S","HT",37,"1",13,160,0.08125,"H",740,"200_pre_200_post_word"
"100","p01",0.744186047,"S","HT",37,"2",54,160,0.3375,"L",740,"200_pre_200_post_word"
"101","p01",0.744186047,"S","HT",38,"1",20,160,0.125,"H",760,"200_pre_200_post_word"
"102","p01",0.744186047,"S","HT",38,"2",40,160,0.25,"L",760,"200_pre_200_post_word"
"103","p01",0.744186047,"S","HT",39,"1",20,160,0.125,"H",780,"200_pre_200_post_word"
"104","p01",0.744186047,"S","HT",39,"2",40,160,0.25,"L",780,"200_pre_200_post_word"
"105","p01",0.744186047,"S","HT",40,"1",20,160,0.125,"H",800,"200_pre_200_post_word"
"106","p01",0.744186047,"S","HT",40,"2",40,160,0.25,"L",800,"200_pre_200_post_word"
"107","p01",0.744186047,"S","HT",41,"1",29,160,0.18125,"H",820,"200_pre_200_post_word"
"108","p01",0.744186047,"S","HT",41,"2",26,160,0.1625,"L",820,"200_pre_200_post_word"
"109","p01",0.744186047,"S","HT",42,"1",42,160,0.2625,"H",840,"200_pre_200_post_word"
"110","p01",0.744186047,"S","HT",42,"2",20,160,0.125,"L",840,"200_pre_200_post_word"
"111","p01",0.744186047,"S","HT",43,"1",40,160,0.25,"H",860,"200_pre_200_post_word"
"112","p01",0.744186047,"S","HT",43,"2",20,160,0.125,"L",860,"200_pre_200_post_word"
"113","p01",0.744186047,"S","HT",44,"1",67,160,0.41875,"H",880,"200_pre_200_post_word"
"114","p01",0.744186047,"S","HT",44,"2",20,160,0.125,"L",880,"200_pre_200_post_word"
"115","p01",0.744186047,"S","HT",45,"1",60,160,0.375,"H",900,"200_pre_200_post_word"
"116","p01",0.744186047,"S","HT",45,"2",25,160,0.15625,"L",900,"200_pre_200_post_word"
"117","p01",0.744186047,"S","HT",46,"1",66,160,0.4125,"H",920,"200_pre_200_post_word"
"118","p01",0.744186047,"S","HT",46,"2",40,160,0.25,"L",920,"200_pre_200_post_word"
"119","p01",0.744186047,"S","HT",47,"1",60,160,0.375,"H",940,"200_pre_200_post_word"
"120","p01",0.744186047,"S","HT",47,"2",40,160,0.25,"L",940,"200_pre_200_post_word"
"121","p01",0.744186047,"S","HT",48,"1",74,160,0.4625,"H",960,"200_pre_200_post_word"
"122","p01",0.744186047,"S","HT",48,"2",33,160,0.20625,"L",960,"200_pre_200_post_word"
"123","p01",0.744186047,"S","HT",49,"1",86,160,0.5375,"H",980,"200_pre_200_post_word"
"124","p01",0.744186047,"S","HT",49,"2",40,160,0.25,"L",980,"200_pre_200_post_word"
"125","p01",0.744186047,"S","HT",50,"1",80,160,0.5,"H",1000,"200_pre_200_post_word"
"126","p01",0.744186047,"S","HT",50,"2",40,160,0.25,"L",1000,"200_pre_200_post_word"
"127","p01",0.744186047,"S","LT",30,"1",40,160,0.25,"L",600,"200_pre_200_post_word"
"128","p01",0.744186047,"S","LT",30,"2",60,160,0.375,"H",600,"200_pre_200_post_word"
"129","p01",0.744186047,"S","LT",31,"1",40,160,0.25,"L",620,"200_pre_200_post_word"
"130","p01",0.744186047,"S","LT",31,"2",60,160,0.375,"H",620,"200_pre_200_post_word"
"131","p01",0.744186047,"S","LT",32,"1",40,160,0.25,"L",640,"200_pre_200_post_word"
"132","p01",0.744186047,"S","LT",32,"2",60,160,0.375,"H",640,"200_pre_200_post_word"
"133","p01",0.744186047,"S","LT",33,"1",40,160,0.25,"L",660,"200_pre_200_post_word"
"134","p01",0.744186047,"S","LT",33,"2",60,160,0.375,"H",660,"200_pre_200_post_word"
"135","p01",0.744186047,"S","LT",34,"1",40,160,0.25,"L",680,"200_pre_200_post_word"
"136","p01",0.744186047,"S","LT",34,"2",70,160,0.4375,"H",680,"200_pre_200_post_word"
"137","p01",0.744186047,"S","LT",35,"1",40,160,0.25,"L",700,"200_pre_200_post_word"
"138","p01",0.744186047,"S","LT",35,"2",80,160,0.5,"H",700,"200_pre_200_post_word"
"139","p01",0.744186047,"S","LT",36,"1",40,160,0.25,"L",720,"200_pre_200_post_word"
"140","p01",0.744186047,"S","LT",36,"2",80,160,0.5,"H",720,"200_pre_200_post_word"
"141","p01",0.744186047,"S","LT",37,"1",40,160,0.25,"L",740,"200_pre_200_post_word"
"142","p01",0.744186047,"S","LT",37,"2",67,160,0.41875,"H",740,"200_pre_200_post_word"
"143","p01",0.744186047,"S","LT",38,"1",40,160,0.25,"L",760,"200_pre_200_post_word"
"144","p01",0.744186047,"S","LT",38,"2",60,160,0.375,"H",760,"200_pre_200_post_word"
"145","p01",0.744186047,"S","LT",39,"1",40,160,0.25,"L",780,"200_pre_200_post_word"
"146","p01",0.744186047,"S","LT",39,"2",60,160,0.375,"H",780,"200_pre_200_post_word"
"147","p01",0.744186047,"S","LT",40,"1",44,160,0.275,"L",800,"200_pre_200_post_word"
"148","p01",0.744186047,"S","LT",40,"2",60,160,0.375,"H",800,"200_pre_200_post_word"
"149","p01",0.744186047,"S","LT",41,"1",40,160,0.25,"L",820,"200_pre_200_post_word"
"150","p01",0.744186047,"S","LT",41,"2",60,160,0.375,"H",820,"200_pre_200_post_word"
"151","p01",0.744186047,"S","LT",42,"1",40,160,0.25,"L",840,"200_pre_200_post_word"
"152","p01",0.744186047,"S","LT",42,"2",60,160,0.375,"H",840,"200_pre_200_post_word"
"153","p01",0.744186047,"S","LT",43,"1",40,160,0.25,"L",860,"200_pre_200_post_word"
"154","p01",0.744186047,"S","LT",43,"2",73,160,0.45625,"H",860,"200_pre_200_post_word"
"155","p01",0.744186047,"S","LT",44,"1",40,160,0.25,"L",880,"200_pre_200_post_word"
"156","p01",0.744186047,"S","LT",44,"2",60,160,0.375,"H",880,"200_pre_200_post_word"
"157","p01",0.744186047,"S","LT",45,"1",40,160,0.25,"L",900,"200_pre_200_post_word"
"158","p01",0.744186047,"S","LT",45,"2",60,160,0.375,"H",900,"200_pre_200_post_word"
"159","p01",0.744186047,"S","LT",46,"1",40,160,0.25,"L",920,"200_pre_200_post_word"
"160","p01",0.744186047,"S","LT",46,"2",60,160,0.375,"H",920,"200_pre_200_post_word"
"161","p01",0.744186047,"S","LT",47,"1",40,160,0.25,"L",940,"200_pre_200_post_word"
"162","p01",0.744186047,"S","LT",47,"2",60,160,0.375,"H",940,"200_pre_200_post_word"
"163","p01",0.744186047,"S","LT",48,"1",25,160,0.15625,"L",960,"200_pre_200_post_word"
"164","p01",0.744186047,"S","LT",48,"2",60,160,0.375,"H",960,"200_pre_200_post_word"
"165","p01",0.744186047,"S","LT",49,"1",32,160,0.2,"L",980,"200_pre_200_post_word"
"166","p01",0.744186047,"S","LT",49,"2",57,160,0.35625,"H",980,"200_pre_200_post_word"
"167","p01",0.744186047,"S","LT",50,"1",40,160,0.25,"L",1000,"200_pre_200_post_word"
"168","p01",0.744186047,"S","LT",50,"2",46,160,0.2875,"H",1000,"200_pre_200_post_word"
"169","p02",0.708333333,"CS","HT",30,"1",80,160,0.5,"H",600,"200_pre_200_post_word"
"170","p02",0.708333333,"CS","HT",30,"2",60,160,0.375,"L",600,"200_pre_200_post_word"
"171","p02",0.708333333,"CS","HT",31,"1",80,160,0.5,"H",620,"200_pre_200_post_word"
"172","p02",0.708333333,"CS","HT",31,"2",60,160,0.375,"L",620,"200_pre_200_post_word"
"173","p02",0.708333333,"CS","HT",32,"1",80,160,0.5,"H",640,"200_pre_200_post_word"
"174","p02",0.708333333,"CS","HT",32,"2",60,160,0.375,"L",640,"200_pre_200_post_word"
"175","p02",0.708333333,"CS","HT",33,"1",69,160,0.43125,"H",660,"200_pre_200_post_word"
"176","p02",0.708333333,"CS","HT",33,"2",43,160,0.26875,"L",660,"200_pre_200_post_word"
"177","p02",0.708333333,"CS","HT",34,"1",60,160,0.375,"H",680,"200_pre_200_post_word"
"178","p02",0.708333333,"CS","HT",34,"2",35,160,0.21875,"L",680,"200_pre_200_post_word"
"179","p02",0.708333333,"CS","HT",35,"1",60,160,0.375,"H",700,"200_pre_200_post_word"
"180","p02",0.708333333,"CS","HT",35,"2",31,160,0.19375,"L",700,"200_pre_200_post_word"
"181","p02",0.708333333,"CS","HT",36,"1",70,160,0.4375,"H",720,"200_pre_200_post_word"
"182","p02",0.708333333,"CS","HT",36,"2",40,160,0.25,"L",720,"200_pre_200_post_word"
"183","p02",0.708333333,"CS","HT",37,"1",80,160,0.5,"H",740,"200_pre_200_post_word"
"184","p02",0.708333333,"CS","HT",37,"2",40,160,0.25,"L",740,"200_pre_200_post_word"
"185","p02",0.708333333,"CS","HT",38,"1",63,160,0.39375,"H",760,"200_pre_200_post_word"
"186","p02",0.708333333,"CS","HT",38,"2",40,160,0.25,"L",760,"200_pre_200_post_word"
"187","p02",0.708333333,"CS","HT",39,"1",80,160,0.5,"H",780,"200_pre_200_post_word"
"188","p02",0.708333333,"CS","HT",39,"2",40,160,0.25,"L",780,"200_pre_200_post_word"
"189","p02",0.708333333,"CS","HT",40,"1",80,160,0.5,"H",800,"200_pre_200_post_word"
"190","p02",0.708333333,"CS","HT",40,"2",40,160,0.25,"L",800,"200_pre_200_post_word"
"191","p02",0.708333333,"CS","HT",41,"1",80,160,0.5,"H",820,"200_pre_200_post_word"
"192","p02",0.708333333,"CS","HT",41,"2",40,160,0.25,"L",820,"200_pre_200_post_word"
"193","p02",0.708333333,"CS","HT",42,"1",100,160,0.625,"H",840,"200_pre_200_post_word"
"194","p02",0.708333333,"CS","HT",42,"2",40,160,0.25,"L",840,"200_pre_200_post_word"
"195","p02",0.708333333,"CS","HT",43,"1",96,160,0.6,"H",860,"200_pre_200_post_word"
